Particle_ID	category	AED	min_circle	max_dia	AR	x	y	P	height	T	RH	border
20240320_085423_97_1	compact	16.016029622851896	39.6	70.1007310946184	2.0	652.0	539.0	421.3	6605	-34.0	61	0.0
20240320_085443_98_2	columns	13.165095253247278	29.7	59.14737948548524	2.357142857142857	832.0	525.0	413.1	6743	-35.1	70	0.0
20240320_085535_99_1	irregular	41.673297504892524	211.2	205.55583183164612	1.0952380952380953	553.0	61.0	392.4	7099	-37.7	71	0.0
20240320_085618_00_1	compact	15.010518076841858	46.2	60.06090658656427	1.3181818181818181	485.0	365.0	375.9	7393	-40.3	72	0.0
20240320_085650_01_1	compact	12.899106314237086	29.7	50.18279087496031	1.9285714285714286	499.0	469.0	363.8	7615	-42.3	76	0.0
20240320_085829_04_2	compact	11.921500789841884	39.6	44.33559518039653	1.0	455.0	189.0	328.4	8298	-48.2	61	0.0
20240320_085921_05_1	compact	17.063913721227156	85.8	85.24290293039063	1.0857142857142856	925.0	224.0	310.5	8665	-51.2	57	0.0
20240320_085954_06_1	compact	23.476727860289547	39.6	125.66025624675449	4.111111111111111	869.0	69.0	299.7	8894	-53.2	61	0.0
20240320_090046_08_1	rosettes	25.323566340469775	69.3	83.04271491226669	2.0303030303030303	127.0	922.0	283.5	9249	-56.0	55	0.0
20240320_090046_08_2	columns	13.554295149829755	99.0	83.38623987205563	1.9565217391304348	87.0	682.0	283.5	9249	-56.0	55	0.0
20240320_090046_08_4	compact	8.326337322666529	39.6	36.224922360165245	1.7272727272727273	206.0	19.0	283.5	9249	-56.0	55	0.0
20240320_090054_08_1	compact	18.524931076622295	75.89999999999999	81.67083322704623	1.0	492.0	404.0	281.1	9303	-56.4	55	0.0
20240320_090107_08_1	rosettes	15.907445119173854	46.2	66.81990721334473	1.5454545454545454	38.0	461.0	277.1	9393	-57.1	51	0.0
20240320_090124_09_1	rosettes	55.41864008832904	254.1	288.37733093986424	1.2162162162162162	230.0	174.0	271.6	9520	-57.9	45	0.0
20240320_090132_09_1	rosettes	70.30703226514508	481.8	506.5526872892888	1.0568720379146919	879.0	166.0	269.1	9579	-58.2	43	0.0
20240320_090156_10_1	irregular	38.92061750096762	155.1	175.76953660973223	1.2058823529411764	170.0	800.0	261.9	9749	-59.5	49	0.0
20240320_090208_10_1	compact	91.57078510010625	174.89999999999998	486.6828767277517	4.0394736842105265	235.0	562.0	258.5	9830	-60.3	52	0.0
20240320_090211_10_1	rosettes	16.016029622851896	42.9	77.47975542036771	2.0	85.0	55.0	257.6	9852	-60.3	52	0.0
20240320_090221_10_1	columns	33.564538797307804	541.1999999999999	397.78348382002986	4.0344827586206895	414.0	869.0	254.7	9922	-60.7	55	0.0
20240320_090221_10_2	columns	51.2932115133278	603.9	442.2554069765569	4.278688524590164	659.0	838.0	254.7	9922	-60.7	55	0.0
20240320_090221_10_3	compact	10.366206368618458	29.7	37.40808736089029	1.1333333333333333	250.0	511.0	254.7	9922	-60.7	55	0.0
20240320_090221_10_4	compact	10.695373943807148	23.1	43.59248788495559	1.7692307692307692	216.0	435.0	254.7	9922	-60.7	55	0.0
20240320_090221_10_5	rosettes	15.353007422548217	56.1	71.9407568767524	1.3461538461538463	673.0	164.0	254.7	9922	-60.7	55	0.0
20240320_090221_10_6	compact	8.929002026679916	23.1	34.33427587702994	1.4166666666666667	390.0	138.0	254.7	9922	-60.7	55	0.0
20240320_090224_11_1	columns	23.402785226668083	168.29999999999998	109.34907407015388	5.352941176470588	345.0	954.0	253.8	9944	-60.9	55	1.0
20240320_090224_11_2	columns	93.96226476835874	201.3	212.45952555722232	3.1363636363636362	224.0	866.0	253.8	9944	-60.9	55	1.0
20240320_090224_11_3	compact	40.19129149221669	178.2	215.8222706302573	1.3461538461538463	426.0	765.0	253.8	9944	-60.9	55	0.0
20240320_090240_11_1	compact	8.326337322666529	33.0	35.079481182024345	1.1428571428571428	821.0	158.0	249.2	10058	-61.3	52	0.0
20240320_090249_11_1	columns	31.65103563702913	287.1	235.72489261849285	2.2982456140350878	907.0	456.0	246.6	10124	-61.8	48	0.0
20240320_090256_11_1	rosettes	12.489505983999793	62.7	75.2515780565431	1.2857142857142858	827.0	873.0	244.5	10176	-62.2	50	0.0
20240320_090256_11_2	compact	13.032779379953169	33.0	55.46552983610631	1.7058823529411764	863.0	863.0	244.5	10176	-62.2	50	0.0
20240320_090256_11_4	columns	47.83116636626559	617.1	456.01236002985706	3.546666666666667	590.0	601.0	244.5	10176	-62.2	50	0.0
20240320_090257_12_2	columns	98.13075138295963	188.1	152.74758590563715	2.8313253012048194	712.0	919.0	244.2	10184	-62.2	51	1.0
20240320_090257_12_3	columns	77.88575387031695	211.2	195.85715457955573	1.9805825242718447	930.0	901.0	244.2	10184	-62.2	51	1.0
20240320_090257_12_4	rosettes	13.554295149829755	66.0	80.9173189125789	1.2258064516129032	136.0	862.0	244.2	10184	-62.2	51	0.0
20240320_090257_12_5	columns	15.46548517109509	42.9	69.3981447878832	1.85	171.0	852.0	244.2	10184	-62.2	51	0.0
